,National Administrator,Account Type,Account Holder Name,Installation/Aircraft ID,Installation Name/Aircraft Operator Code*,Company Registration No,Permit/Plan ID,Permit/Plan Date,Main Activity Type,Latest Compliance Code
124,Austria,Operator Holding Account,Getzner Textil AG,123,Getzner Textil Bludenz,FN 61295 s,ITE204-1,2004-01-02,Combustion installations with a rated thermal input exceeding 20 MW,C
125,Austria,Operator Holding Account,"Ziegelei Hilti, Mettauer GmbH",70,Hilti Mettauer Götzis,FN 207171 p,IZI147,2004-01-01,"Installations for the manufacture of ceramic products by firing, in particular roofing tiles, bricks, refractory bricks, tiles, stoneware or porcelain",C
126,Austria,Operator Holding Account,Weindl Gesellschaft m.b.H.,29,Ziegelwerk Weindl Steyr,FN 119405 x,IZI160,2004-01-02,"Installations for the manufacture of ceramic products by firing, in particular roofing tiles, bricks, refractory bricks, tiles, stoneware or porcelain",A
127,Austria,Operator Holding Account,MM Frohnleiten GmbH,124,Mayr Melnhof Karton Hirschwang,FN 62874 m,IPA095,2004-01-01,Production of paper or cardboard,A
128,Austria,Operator Holding Account,MM Frohnleiten GmbH,125,Mayr Melnhof Karton Frohnleiten,FN 62874 m,IPA092,2004-01-01,Production of paper or cardboard,A
129,Austria,Operator Holding Account,Norske Skog Bruck GmbH,126,Norske Skog Bruck GmbH,FN 140650 p,IPA091,2004-01-01,Production of pulp,A
130,Austria,Operator Holding Account,Kelag Energie & Wärme GmbH,103,Kelag Wärme St. Magdalen,FN 68303 x,EFE039,2004-01-02,Combustion of fuels,A
131,Austria,Operator Holding Account,Kelag Energie & Wärme GmbH,105,Kelag Wärme Badgastein,FN 68303 x,EFE050,2004-01-02,Combustion installations with a rated thermal input exceeding 20 MW,A
132,Austria,Operator Holding Account,Walther GmbH,102,Inn Crystal Glass Braunau,FN 350971i,IGL175,2004-01-02,Installations for the manufacture of glass including glass fibre,C
133,Austria,Operator Holding Account,EVN Wärme GmbH,127,EVN FHKW Wr. Neustadt,FN 307421 s,EFE034,2005-08-01,Combustion of fuels,A
134,Austria,Operator Holding Account,EVN Wärme GmbH,128,EVN FHW Baden,FN 307421 s,EFE032,2005-12-15,Combustion of fuels,A
135,Austria,Operator Holding Account,EVN Wärme GmbH,129,EVN FHW Palmers Wr. Neudorf,FN 307421 s,EFE033,2005-03-16,Combustion of fuels,A
136,Austria,Operator Holding Account,MSD Animal Health Danube Biotech GmbH,130,EVN Baxter Krems,FN 475647 g,ICH115,2004-01-02,Combustion of fuels,C
137,Austria,Operator Holding Account,EVN Wärme GmbH,131,EVN COGEN  Agrana Tulln,FN 307421 s,ILE168,2005-06-28,Combustion of fuels,A
138,Austria,Operator Holding Account,EVN Wärme GmbH,132,EVN FHKW Mödling,FN 307421 s,EEW019,2005-03-31,Combustion of fuels,A
139,Austria,Operator Holding Account,EVN Wärme GmbH,133,EVN Cogen Salzer St. Pölten,FN 307421 s,EEW020,2004-11-19,Combustion of fuels,A
140,Austria,Operator Holding Account,EVN Wärmekraftwerke GmbH,134,EVN Kraftwerk Theiß,FN 213432 x,EEW006,2005-06-07,Combustion of fuels,A
